Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Offers Regression,Chrome 77.0.3865.90,,,2019-10-11 15:46:40,2019-10-11 15:50:17,3m - 37.286s,INCOMPLETE
,,,,,,,
Test Cases/Test Scenarios/Regression/Login/GSM Login,Chrome 77.0.3865.90,,,2019-10-11 15:46:40,2019-10-11 15:47:28,47.719s,PASSED
"openBrowser("""")",Chrome 77.0.3865.90,,,2019-10-11 15:46:41,2019-10-11 15:46:54,12.730s,PASSED
navigateToUrl(url),Chrome 77.0.3865.90,,,2019-10-11 15:46:54,2019-10-11 15:46:59,5.112s,PASSED
"click(findTestObject(""Object Repository/GSM Login/Page_GSM Portal/button_Log in""))",Chrome 77.0.3865.90,,,2019-10-11 15:46:59,2019-10-11 15:47:06,6.989s,PASSED
delay(3),Chrome 77.0.3865.90,,,2019-10-11 15:47:06,2019-10-11 15:47:09,3.044s,PASSED
"setText(findTestObject(""Object Repository/GSM Login/Page_GSM Login/input_Email Address_email""), username)",Chrome 77.0.3865.90,,,2019-10-11 15:47:09,2019-10-11 15:47:15,6.603s,PASSED
delay(2),Chrome 77.0.3865.90,,,2019-10-11 15:47:15,2019-10-11 15:47:17,2.004s,PASSED
"setText(findTestObject(""Object Repository/GSM Login/Page_GSM Login/input_Password_password""), password)",Chrome 77.0.3865.90,,,2019-10-11 15:47:17,2019-10-11 15:47:24,6.350s,PASSED
"click(findTestObject(""Object Repository/GSM Login/Page_GSM Login/button_Log In""))",Chrome 77.0.3865.90,,,2019-10-11 15:47:24,2019-10-11 15:47:28,4.201s,PASSED
,,,,,,,
Test Cases/Test Scenarios/Regression/Content Management/Create Offer,Chrome 77.0.3865.90,,,2019-10-11 15:47:28,2019-10-11 15:49:07,1m - 38.976s,PASSED
"click(findTestObject(""Object Repository/Create Offer/Page_Dashboard/div_Content""))",Chrome 77.0.3865.90,,,2019-10-11 15:47:29,2019-10-11 15:47:44,15.380s,PASSED
"click(findTestObject(""Object Repository/Create Offer/Page_Templates/a_Offers""))",Chrome 77.0.3865.90,,,2019-10-11 15:47:44,2019-10-11 15:47:51,6.923s,PASSED
"click(findTestObject(""Object Repository/Create Offer/Page_Offers/a_New Offer""))",Chrome 77.0.3865.90,,,2019-10-11 15:47:51,2019-10-11 15:47:55,4.214s,PASSED
"setText(findTestObject(""Create Offer/Page_Offers/input_Offer Name_name""), ""abc"")",Chrome 77.0.3865.90,,,2019-10-11 15:47:55,2019-10-11 15:48:01,6.283s,PASSED
"click(findTestObject(""Object Repository/Create Offer/Page_Offers/input_Marketing Category_marketingCategory""))",Chrome 77.0.3865.90,,,2019-10-11 15:48:01,2019-10-11 15:48:06,4.207s,PASSED
"setText(findTestObject(""Create Offer/Page_Offers/textarea_Offer Description_description""), ""abc"")",Chrome 77.0.3865.90,,,2019-10-11 15:48:06,2019-10-11 15:48:12,6.266s,PASSED
"click(findTestObject(""Object Repository/Create Offer/Page_Offers/button_Select""))",Chrome 77.0.3865.90,,,2019-10-11 15:48:12,2019-10-11 15:48:16,4.177s,PASSED
"click(findTestObject(""Object Repository/Create Offer/Page_Offers/a_English (US)""))",Chrome 77.0.3865.90,,,2019-10-11 15:48:16,2019-10-11 15:48:20,4.240s,PASSED
