Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Regression Images,Chrome 77.0.3865.120,,,2019-10-17 10:45:15,2019-10-17 10:48:40,3m - 25.297s,INCOMPLETE
,,,,,,,
Test Cases/UI Test Scenarios/Modules/Login/GSM Login,Chrome 77.0.3865.120,,,2019-10-17 10:45:15,2019-10-17 10:46:31,1m - 15.547s,PASSED
"openBrowser("""")",Chrome 77.0.3865.120,,,2019-10-17 10:45:16,2019-10-17 10:45:27,11.744s,PASSED
navigateToUrl(url),Chrome 77.0.3865.120,,,2019-10-17 10:45:27,2019-10-17 10:45:36,8.554s,PASSED
maximizeWindow(),Chrome 77.0.3865.120,,,2019-10-17 10:45:36,2019-10-17 10:45:42,6.165s,PASSED
"click(findTestObject(""UI Test Scenarios/Modules/GSM Login/Page_GSM Portal/button_Log in""))",Chrome 77.0.3865.120,,,2019-10-17 10:45:42,2019-10-17 10:45:54,11.520s,PASSED
delay(3),Chrome 77.0.3865.120,,,2019-10-17 10:45:54,2019-10-17 10:45:57,3.055s,PASSED
"setText(findTestObject(""UI Test Scenarios/Modules/GSM Login/Page_GSM Login/input_Email Address_email""), username)",Chrome 77.0.3865.120,,,2019-10-17 10:45:57,2019-10-17 10:46:03,6.775s,PASSED
delay(2),Chrome 77.0.3865.120,,,2019-10-17 10:46:03,2019-10-17 10:46:05,2.006s,PASSED
"setText(findTestObject(""UI Test Scenarios/Modules/GSM Login/Page_GSM Login/input_Password_password""), password)",Chrome 77.0.3865.120,,,2019-10-17 10:46:05,2019-10-17 10:46:12,6.544s,PASSED
"click(findTestObject(""UI Test Scenarios/Modules/GSM Login/Page_GSM Login/button_Log In""))",Chrome 77.0.3865.120,,,2019-10-17 10:46:12,2019-10-17 10:46:16,4.353s,PASSED
delay(5),Chrome 77.0.3865.120,,,2019-10-17 10:46:16,2019-10-17 10:46:21,5.007s,PASSED
"verifyElementText(findTestObject(""UI Test Scenarios/Modules/GSM Login/div_Welcome Sankaran""), ""Welcome, Sankaran"")",Chrome 77.0.3865.120,,,2019-10-17 10:46:21,2019-10-17 10:46:31,9.333s,PASSED
,,,,,,,
Test Cases/UI Test Scenarios/Modules/Content Management/IMAGES/Upload Image,Chrome 77.0.3865.120,,,2019-10-17 10:46:31,2019-10-17 10:46:31,0.377s,PASSED
"click(findTestObject(""UI Test Scenarios/Modules/Content Management/IMAGES/Edit Image/Page_Dashboard/div_Content""))",Chrome 77.0.3865.120,,,2019-10-17 10:46:31,2019-10-17 10:46:31,0.003s,NOT_RUN
"click(findTestObject(""UI Test Scenarios/Modules/Content Management/IMAGES/Edit Image/Page_Templates/a_Images""))",Chrome 77.0.3865.120,,,2019-10-17 10:46:31,2019-10-17 10:46:31,0.001s,NOT_RUN
"click(findTestObject(""UI Test Scenarios/Modules/Content Management/IMAGES/Edit Image/Page_Images/a_Upload""))",Chrome 77.0.3865.120,,,2019-10-17 10:46:31,2019-10-17 10:46:31,0.000s,NOT_RUN
"setText(findTestObject(""UI Test Scenarios/Modules/Content Management/IMAGES/Edit Image/Page_Upload Images/input_Image Name_image-group-0-name""), ""innova"")",Chrome 77.0.3865.120,,,2019-10-17 10:46:31,2019-10-17 10:46:31,0.000s,NOT_RUN
"com.kms.katalon.keyword.uploadfile.UploadFile.uploadFileUsingRobot(findTestObject(""UI Test Scenarios/Modules/Content Management/IMAGES/Edit Image/Page_Upload Images/div_Select Files""), ""C:\Users\Dell\Pictures\Innova.jpg"")",Chrome 77.0.3865.120,,,2019-10-17 10:46:31,2019-10-17 10:46:31,0.000s,NOT_RUN
"click(findTestObject(""UI Test Scenarios/Modules/Content Management/IMAGES/Edit Image/Page_Upload Images/button_Select""))",Chrome 77.0.3865.120,,,2019-10-17 10:46:31,2019-10-17 10:46:31,0.000s,NOT_RUN
"click(findTestObject(""UI Test Scenarios/Modules/Content Management/IMAGES/Edit Image/Page_Upload Images/a_Email""))",Chrome 77.0.3865.120,,,2019-10-17 10:46:31,2019-10-17 10:46:31,0.000s,NOT_RUN
"click(findTestObject(""UI Test Scenarios/Modules/Content Management/IMAGES/Edit Image/Page_Upload Images/button_Select_1""))",Chrome 77.0.3865.120,,,2019-10-17 10:46:31,2019-10-17 10:46:31,0.016s,NOT_RUN
"click(findTestObject(""UI Test Scenarios/Modules/Content Management/IMAGES/Edit Image/Page_Upload Images/a_English (US)""))",Chrome 77.0.3865.120,,,2019-10-17 10:46:31,2019-10-17 10:46:31,0.000s,NOT_RUN
"click(findTestObject(""UI Test Scenarios/Modules/Content Management/IMAGES/Edit Image/Page_Upload Images/input_Marketing Category_image-group-0-marketingCategory""))",Chrome 77.0.3865.120,,,2019-10-17 10:46:31,2019-10-17 10:46:31,0.000s,NOT_RUN
"click(findTestObject(""UI Test Scenarios/Modules/Content Management/IMAGES/Edit Image/Page_Upload Images/button_Finish Upload""))",Chrome 77.0.3865.120,,,2019-10-17 10:46:31,2019-10-17 10:46:31,0.000s,NOT_RUN
,,,,,,,
Test Cases/UI Test Scenarios/Modules/Content Management/IMAGES/Edit Image,Chrome 77.0.3865.120,,,2019-10-17 10:46:31,2019-10-17 10:48:31,1m - 59.580s,PASSED
"click(findTestObject(""UI Test Scenarios/Modules/Content Management/IMAGES/Edit Image/Page_Dashboard/div_Content""))",Chrome 77.0.3865.120,,,2019-10-17 10:46:31,2019-10-17 10:46:36,4.361s,PASSED
"click(findTestObject(""UI Test Scenarios/Modules/Content Management/IMAGES/Edit Image/Page_Templates/a_Images""))",Chrome 77.0.3865.120,,,2019-10-17 10:46:36,2019-10-17 10:46:40,4.236s,PASSED
"click(findTestObject(""UI Test Scenarios/Modules/Content Management/IMAGES/Edit Image/Page_Images/button_Local_dropdown-toggle btn btn-icon btn-light""))",Chrome 77.0.3865.120,,,2019-10-17 10:46:40,2019-10-17 10:46:52,11.890s,PASSED
"click(findTestObject(""UI Test Scenarios/Modules/Content Management/IMAGES/Edit Image/Page_Images/a_Edit""))",Chrome 77.0.3865.120,,,2019-10-17 10:46:52,2019-10-17 10:48:19,1m - 27.544s,PASSED
"click(findTestObject(""UI Test Scenarios/Modules/Content Management/IMAGES/Edit Image/Page_Edit Image/label_Transaction""))",Chrome 77.0.3865.120,,,2019-10-17 10:48:19,2019-10-17 10:48:26,6.913s,PASSED
"click(findTestObject(""UI Test Scenarios/Modules/Content Management/IMAGES/Edit Image/Page_Edit Image/button_Save""))",Chrome 77.0.3865.120,,,2019-10-17 10:48:26,2019-10-17 10:48:31,4.461s,PASSED
,,,,,,,
Test Cases/UI Test Scenarios/Modules/Content Management/IMAGES/Archive Image,Chrome 77.0.3865.120,,,2019-10-17 10:48:31,2019-10-17 10:48:31,0.303s,PASSED
"click(findTestObject(""UI Test Scenarios/Modules/Content Management/IMAGES/Archive Image/Page_Images/div_Most Recent Uploads_library-table-checkbox no-label checkbox""))",Chrome 77.0.3865.120,,,2019-10-17 10:48:31,2019-10-17 10:48:31,0.006s,NOT_RUN
"click(findTestObject(""UI Test Scenarios/Modules/Content Management/IMAGES/Archive Image/Page_Images/button_Archive""))",Chrome 77.0.3865.120,,,2019-10-17 10:48:31,2019-10-17 10:48:31,0.000s,NOT_RUN
"click(findTestObject(""UI Test Scenarios/Modules/Content Management/IMAGES/Archive Image/Page_Images/button_Yes""))",Chrome 77.0.3865.120,,,2019-10-17 10:48:31,2019-10-17 10:48:31,0.004s,NOT_RUN
,,,,,,,
Test Cases/UI Test Scenarios/Modules/Logout/GSM Logout,Chrome 77.0.3865.120,,,2019-10-17 10:48:31,2019-10-17 10:48:40,8.858s,PASSED
"click(findTestObject(""UI Test Scenarios/Modules/GSM Logout/Page_Templates/a_Help_user-panel-dropdown-4""))",Chrome 77.0.3865.120,,,2019-10-17 10:48:31,2019-10-17 10:48:36,4.277s,PASSED
"click(findTestObject(""UI Test Scenarios/Modules/GSM Logout/Page_Templates/a_Log Out""))",Chrome 77.0.3865.120,,,2019-10-17 10:48:36,2019-10-17 10:48:40,4.337s,PASSED
