Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Para,Chrome 77.0.3865.120,,,2019-10-21 11:14:59,2019-10-21 11:20:01,5m - 2.102s,INCOMPLETE
,,,,,,,
Test Cases/Para,Chrome 77.0.3865.120,,,2019-10-21 11:14:59,2019-10-21 11:16:38,1m - 38.172s,ERROR
"openBrowser("""")",Chrome 77.0.3865.120,,,2019-10-21 11:15:00,2019-10-21 11:15:11,11.260s,PASSED
navigateToUrl(url),Chrome 77.0.3865.120,,,2019-10-21 11:15:11,2019-10-21 11:15:17,5.678s,PASSED
"click(findTestObject(""Object Repository/Para/Page_GSM Portal/button_Log in""))",Chrome 77.0.3865.120,,,2019-10-21 11:15:17,2019-10-21 11:15:25,8.151s,PASSED
"setText(findTestObject(""Object Repository/Para/Page_GSM Login/input_Email Address_email""), un)",Chrome 77.0.3865.120,,,2019-10-21 11:15:25,2019-10-21 11:15:32,6.511s,PASSED
"setText(findTestObject(""Object Repository/Para/Page_GSM Login/input_Password_password""), pw)",Chrome 77.0.3865.120,,,2019-10-21 11:15:32,2019-10-21 11:15:38,6.340s,PASSED
"click(findTestObject(""Object Repository/Para/Page_GSM Login/button_Log In""))",Chrome 77.0.3865.120,,,2019-10-21 11:15:38,2019-10-21 11:15:42,4.257s,PASSED
"click(findTestObject(""Object Repository/Para/Page_Dashboard/div_Content""))",Chrome 77.0.3865.120,,,2019-10-21 11:15:42,2019-10-21 11:15:53,10.280s,PASSED
"click(findTestObject(""Object Repository/Para/Page_Templates/a_Offers""))",Chrome 77.0.3865.120,,,2019-10-21 11:15:53,2019-10-21 11:15:57,4.282s,PASSED
"click(findTestObject(""Object Repository/Para/Page_Offers/a_New Offer""))",Chrome 77.0.3865.120,,,2019-10-21 11:15:57,2019-10-21 11:16:01,4.257s,PASSED
"setText(findTestObject(""Object Repository/Para/Page_Offers/input_Offer Name_name""), OfferName)",Chrome 77.0.3865.120,,,2019-10-21 11:16:01,2019-10-21 11:16:08,6.368s,PASSED
"click(findTestObject(""Object Repository/Para/Page_Offers/input_Marketing Category_marketingCategory""))",Chrome 77.0.3865.120,,,2019-10-21 11:16:08,2019-10-21 11:16:12,4.263s,PASSED
"setText(findTestObject(""Object Repository/Para/Page_Offers/textarea_Offer Description_description""), OfferDescription)",Chrome 77.0.3865.120,,,2019-10-21 11:16:12,2019-10-21 11:16:18,6.311s,PASSED
"setText(findTestObject(""Object Repository/Para/Page_Offers/input_Objects set to expire will be automatically archived_expiration""), ""10/25/2019"")",Chrome 77.0.3865.120,,,2019-10-21 11:16:18,2019-10-21 11:16:25,6.509s,PASSED
"click(findTestObject(""Object Repository/Para/Page_Offers/button_Select""))",Chrome 77.0.3865.120,,,2019-10-21 11:16:25,2019-10-21 11:16:29,4.231s,PASSED
"click(findTestObject(""Object Repository/Para/Page_Offers/a_English (US)""))",Chrome 77.0.3865.120,,,2019-10-21 11:16:29,2019-10-21 11:16:33,4.271s,PASSED
"click(findTestObject(""Object Repository/Para/Page_Offers/button_Next""))",Chrome 77.0.3865.120,,,2019-10-21 11:16:33,2019-10-21 11:16:37,4.285s,PASSED
"setText(findTestObject(""Object Repository/Para/Page_Offers/textarea_Title_title""), Title)",Chrome 77.0.3865.120,,,2019-10-21 11:16:37,2019-10-21 11:16:37,0.085s,PASSED
,,,,,,,
Test Cases/Para,Chrome 77.0.3865.120,,,2019-10-21 11:16:38,2019-10-21 11:18:21,1m - 43.682s,ERROR
"openBrowser("""")",Chrome 77.0.3865.120,,,2019-10-21 11:16:38,2019-10-21 11:16:50,12.278s,PASSED
navigateToUrl(url),Chrome 77.0.3865.120,,,2019-10-21 11:16:50,2019-10-21 11:16:59,8.857s,PASSED
"click(findTestObject(""Object Repository/Para/Page_GSM Portal/button_Log in""))",Chrome 77.0.3865.120,,,2019-10-21 11:16:59,2019-10-21 11:17:06,7.653s,PASSED
"setText(findTestObject(""Object Repository/Para/Page_GSM Login/input_Email Address_email""), un)",Chrome 77.0.3865.120,,,2019-10-21 11:17:06,2019-10-21 11:17:13,6.522s,PASSED
"setText(findTestObject(""Object Repository/Para/Page_GSM Login/input_Password_password""), pw)",Chrome 77.0.3865.120,,,2019-10-21 11:17:13,2019-10-21 11:17:19,6.343s,PASSED
"click(findTestObject(""Object Repository/Para/Page_GSM Login/button_Log In""))",Chrome 77.0.3865.120,,,2019-10-21 11:17:19,2019-10-21 11:17:24,4.212s,PASSED
"click(findTestObject(""Object Repository/Para/Page_Dashboard/div_Content""))",Chrome 77.0.3865.120,,,2019-10-21 11:17:24,2019-10-21 11:17:34,10.581s,PASSED
"click(findTestObject(""Object Repository/Para/Page_Templates/a_Offers""))",Chrome 77.0.3865.120,,,2019-10-21 11:17:34,2019-10-21 11:17:38,4.321s,PASSED
"click(findTestObject(""Object Repository/Para/Page_Offers/a_New Offer""))",Chrome 77.0.3865.120,,,2019-10-21 11:17:38,2019-10-21 11:17:43,4.248s,PASSED
"setText(findTestObject(""Object Repository/Para/Page_Offers/input_Offer Name_name""), OfferName)",Chrome 77.0.3865.120,,,2019-10-21 11:17:43,2019-10-21 11:17:52,8.848s,PASSED
"click(findTestObject(""Object Repository/Para/Page_Offers/input_Marketing Category_marketingCategory""))",Chrome 77.0.3865.120,,,2019-10-21 11:17:52,2019-10-21 11:17:56,4.243s,PASSED
"setText(findTestObject(""Object Repository/Para/Page_Offers/textarea_Offer Description_description""), OfferDescription)",Chrome 77.0.3865.120,,,2019-10-21 11:17:56,2019-10-21 11:18:02,6.302s,PASSED
"setText(findTestObject(""Object Repository/Para/Page_Offers/input_Objects set to expire will be automatically archived_expiration""), ""10/25/2019"")",Chrome 77.0.3865.120,,,2019-10-21 11:18:02,2019-10-21 11:18:09,6.508s,PASSED
"click(findTestObject(""Object Repository/Para/Page_Offers/button_Select""))",Chrome 77.0.3865.120,,,2019-10-21 11:18:09,2019-10-21 11:18:13,4.228s,PASSED
"click(findTestObject(""Object Repository/Para/Page_Offers/a_English (US)""))",Chrome 77.0.3865.120,,,2019-10-21 11:18:13,2019-10-21 11:18:17,4.223s,PASSED
"click(findTestObject(""Object Repository/Para/Page_Offers/button_Next""))",Chrome 77.0.3865.120,,,2019-10-21 11:18:17,2019-10-21 11:18:21,4.229s,PASSED
"setText(findTestObject(""Object Repository/Para/Page_Offers/textarea_Title_title""), Title)",Chrome 77.0.3865.120,,,2019-10-21 11:18:21,2019-10-21 11:18:21,0.062s,PASSED
,,,,,,,
Test Cases/Para,Chrome 77.0.3865.120,,,2019-10-21 11:18:22,2019-10-21 11:20:01,1m - 39.425s,ERROR
"openBrowser("""")",Chrome 77.0.3865.120,,,2019-10-21 11:18:22,2019-10-21 11:18:34,12.156s,PASSED
navigateToUrl(url),Chrome 77.0.3865.120,,,2019-10-21 11:18:34,2019-10-21 11:18:39,5.747s,PASSED
"click(findTestObject(""Object Repository/Para/Page_GSM Portal/button_Log in""))",Chrome 77.0.3865.120,,,2019-10-21 11:18:39,2019-10-21 11:18:49,9.616s,PASSED
"setText(findTestObject(""Object Repository/Para/Page_GSM Login/input_Email Address_email""), un)",Chrome 77.0.3865.120,,,2019-10-21 11:18:49,2019-10-21 11:18:56,6.504s,PASSED
"setText(findTestObject(""Object Repository/Para/Page_GSM Login/input_Password_password""), pw)",Chrome 77.0.3865.120,,,2019-10-21 11:18:56,2019-10-21 11:19:02,6.345s,PASSED
