Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestRail1,Chrome 77.0.3865.120,,,2019-10-24 16:22:03,2019-10-24 16:23:09,1m - 6.447s,INCOMPLETE
,,,,,,,
Test Cases/TestRail/GSM Login,Chrome 77.0.3865.120,,,2019-10-24 16:22:04,2019-10-24 16:23:09,1m - 5.877s,PASSED
"openBrowser("""")",Chrome 77.0.3865.120,,,2019-10-24 16:22:04,2019-10-24 16:22:16,12.166s,PASSED
navigateToUrl(url),Chrome 77.0.3865.120,,,2019-10-24 16:22:16,2019-10-24 16:22:22,5.659s,PASSED
maximizeWindow(),Chrome 77.0.3865.120,,,2019-10-24 16:22:22,2019-10-24 16:22:28,6.155s,PASSED
"click(findTestObject(""UI Test Scenarios/Modules/GSM Login/Page_GSM Portal/button_Log in""))",Chrome 77.0.3865.120,,,2019-10-24 16:22:28,2019-10-24 16:22:35,7.446s,PASSED
delay(3),Chrome 77.0.3865.120,,,2019-10-24 16:22:35,2019-10-24 16:22:39,3.046s,PASSED
"setText(findTestObject(""UI Test Scenarios/Modules/GSM Login/Page_GSM Login/input_Email Address_email""), username)",Chrome 77.0.3865.120,,,2019-10-24 16:22:39,2019-10-24 16:22:45,6.501s,PASSED
delay(2),Chrome 77.0.3865.120,,,2019-10-24 16:22:45,2019-10-24 16:22:47,2.005s,PASSED
"setText(findTestObject(""UI Test Scenarios/Modules/GSM Login/Page_GSM Login/input_Password_password""), password)",Chrome 77.0.3865.120,,,2019-10-24 16:22:47,2019-10-24 16:22:53,6.402s,PASSED
"click(findTestObject(""UI Test Scenarios/Modules/GSM Login/Page_GSM Login/button_Log In""))",Chrome 77.0.3865.120,,,2019-10-24 16:22:53,2019-10-24 16:22:58,4.289s,PASSED
delay(5),Chrome 77.0.3865.120,,,2019-10-24 16:22:58,2019-10-24 16:23:03,5.006s,PASSED
"verifyElementText(findTestObject(""UI Test Scenarios/Modules/GSM Login/div_Welcome Sankaran""), ""Welcome, Sankaran"")",Chrome 77.0.3865.120,,,2019-10-24 16:23:03,2019-10-24 16:23:09,6.703s,PASSED
