Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
R12,Chrome 77.0.3865.120,,,2019-10-29 17:45:28,2019-10-29 17:48:05,2m - 36.644s,FAILED
,,,,,,,
Test Cases/UI Test Scenarios/Modules/Login/GSM Login,Chrome 77.0.3865.120,,,2019-10-29 17:45:28,2019-10-29 17:45:37,8.921s,FAILED
"openBrowser("""")",Chrome 77.0.3865.120,,,2019-10-29 17:45:29,2019-10-29 17:45:37,7.658s,PASSED
navigateToUrl(url),Chrome 77.0.3865.120,,,2019-10-29 17:45:37,2019-10-29 17:45:37,0.349s,FAILED
,,,,,,,
Test Cases/UI Test Scenarios/Modules/Content Management/OFFERS/Create Offer,Chrome 77.0.3865.120,,,2019-10-29 17:45:37,2019-10-29 17:46:11,33.680s,FAILED
"click(findTestObject(""UI Test Scenarios/Modules/Content Management/OFFERS/Create Offer/Page_Dashboard/div_Content""))",Chrome 77.0.3865.120,,,2019-10-29 17:45:38,2019-10-29 17:46:11,33.288s,FAILED
,,,,,,,
Test Cases/UI Test Scenarios/Modules/Content Management/OFFERS/Edit Offer,Chrome 77.0.3865.120,,,2019-10-29 17:46:11,2019-10-29 17:46:50,38.997s,FAILED
delay(5),Chrome 77.0.3865.120,,,2019-10-29 17:46:11,2019-10-29 17:46:16,5.032s,PASSED
"click(findTestObject(""UI Test Scenarios/Modules/Content Management/OFFERS/Edit Offer/Page_Templates/a_Offers""))",Chrome 77.0.3865.120,,,2019-10-29 17:46:16,2019-10-29 17:46:50,33.682s,FAILED
,,,,,,,
Test Cases/UI Test Scenarios/Modules/Content Management/OFFERS/Delete Offer,Chrome 77.0.3865.120,,,2019-10-29 17:46:50,2019-10-29 17:47:31,40.787s,FAILED
delay(5),Chrome 77.0.3865.120,,,2019-10-29 17:46:50,2019-10-29 17:46:55,5.001s,PASSED
delay(2),Chrome 77.0.3865.120,,,2019-10-29 17:46:55,2019-10-29 17:46:57,2.007s,PASSED
"click(findTestObject(""UI Test Scenarios/Modules/Content Management/OFFERS/Delete Offer/Page_Offers/div_Most Recent Uploads_library-table-checkbox no-label checkbox""))",Chrome 77.0.3865.120,,,2019-10-29 17:46:57,2019-10-29 17:47:31,33.489s,FAILED
,,,,,,,
Test Cases/UI Test Scenarios/Modules/Logout/GSM Logout,Chrome 77.0.3865.120,,,2019-10-29 17:47:31,2019-10-29 17:48:05,33.723s,FAILED
"click(findTestObject(""UI Test Scenarios/Modules/GSM Logout/Page_Templates/a_Help_user-panel-dropdown-4""))",Chrome 77.0.3865.120,,,2019-10-29 17:47:31,2019-10-29 17:48:05,33.446s,FAILED
