Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
R13,,,,2019-10-30 15:44:22,2019-10-30 15:44:31,9.061s,INCOMPLETE
,,,,,,,
Test Cases/API Requests/Sample Requests/Create User,,,,2019-10-30 15:44:23,2019-10-30 15:44:27,4.546s,PASSED
"sendRequestAndVerify(findTestObject(""API Requests/Sample Requests/Create User""))",,,,2019-10-30 15:44:23,2019-10-30 15:44:27,4.087s,PASSED
,,,,,,,
Test Cases/API Requests/Sample Requests/Update User,,,,2019-10-30 15:44:27,2019-10-30 15:44:29,1.529s,PASSED
"sendRequestAndVerify(findTestObject(""API Requests/Sample Requests/Update User""))",,,,2019-10-30 15:44:28,2019-10-30 15:44:29,1.136s,PASSED
,,,,,,,
Test Cases/API Requests/Sample Requests/Get Single User,,,,2019-10-30 15:44:29,2019-10-30 15:44:30,1.089s,PASSED
"sendRequestAndVerify(findTestObject(""API Requests/Sample Requests/Get Single User""))",,,,2019-10-30 15:44:29,2019-10-30 15:44:30,0.819s,PASSED
,,,,,,,
Test Cases/API Requests/Sample Requests/Delete User,,,,2019-10-30 15:44:30,2019-10-30 15:44:31,1.301s,PASSED
"sendRequestAndVerify(findTestObject(""API Requests/Sample Requests/Delete User""))",,,,2019-10-30 15:44:30,2019-10-30 15:44:31,1.056s,PASSED
