Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
S1 Offer Management,Chrome 77.0.3865.120,,,2019-10-31 11:55:14,2019-10-31 11:59:14,4m - 0.513s,PASSED
,,,,,,,
Test Cases/Login and Logout/Valid Login,Chrome 77.0.3865.120,,,2019-10-31 11:55:14,2019-10-31 11:56:13,58.960s,PASSED
"openBrowser("""")",Chrome 77.0.3865.120,,,2019-10-31 11:55:15,2019-10-31 11:55:23,8.639s,PASSED
navigateToUrl(url),Chrome 77.0.3865.120,,,2019-10-31 11:55:23,2019-10-31 11:55:35,11.194s,PASSED
maximizeWindow(),Chrome 77.0.3865.120,,,2019-10-31 11:55:35,2019-10-31 11:55:39,4.222s,PASSED
"click(findTestObject(""Demo/UI Test Scenarios/Modules/GSM Login/Page_GSM Portal/button_Log in""))",Chrome 77.0.3865.120,,,2019-10-31 11:55:39,2019-10-31 11:55:46,7.184s,PASSED
delay(3),Chrome 77.0.3865.120,,,2019-10-31 11:55:46,2019-10-31 11:55:49,3.047s,PASSED
"setText(findTestObject(""Demo/UI Test Scenarios/Modules/GSM Login/Page_GSM Login/input_Email Address_email""), username)",Chrome 77.0.3865.120,,,2019-10-31 11:55:49,2019-10-31 11:55:54,4.751s,PASSED
delay(2),Chrome 77.0.3865.120,,,2019-10-31 11:55:54,2019-10-31 11:55:56,2.004s,PASSED
"setText(findTestObject(""Demo/UI Test Scenarios/Modules/GSM Login/Page_GSM Login/input_Password_password""), password)",Chrome 77.0.3865.120,,,2019-10-31 11:55:56,2019-10-31 11:56:01,4.639s,PASSED
"click(findTestObject(""Demo/UI Test Scenarios/Modules/GSM Login/Page_GSM Login/button_Log In""))",Chrome 77.0.3865.120,,,2019-10-31 11:56:01,2019-10-31 11:56:03,2.529s,PASSED
delay(5),Chrome 77.0.3865.120,,,2019-10-31 11:56:03,2019-10-31 11:56:08,5.006s,PASSED
"verifyElementText(findTestObject(""Demo/UI Test Scenarios/Modules/GSM Login/div_Welcome Sankaran""), ""Welcome, Sankaran"")",Chrome 77.0.3865.120,,,2019-10-31 11:56:08,2019-10-31 11:56:13,5.171s,PASSED
,,,,,,,
